molecule_chembl_id,activity_label,canonical_smiles_processed,MW,LogP,H_Donors,H_Acceptors,pIC50
CHEMBL1828882,inactive,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(F)cc2)cc1,323.345,1.8819000000000001,1,4,4.629857152948898
CHEMBL1828883,inactive,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1,339.8,2.3962000000000003,1,4,4.421017157297209
CHEMBL1828884,inactive,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(Br)cc2)cc1,384.251,2.505300000000001,1,4,4.601539150391777
CHEMBL1829271,inactive,O=C(Cc1cccc(Br)c1)NS(=O)(=O)c1ccccc1,354.2250000000001,2.4967000000000006,1,3,4.579549140893932
CHEMBL1829272,inactive,Cc1ccc(S(=O)(=O)NC(=O)Cc2cccc(Br)c2)cc1,368.252,2.8051200000000014,1,3,4.55455148573395
CHEMBL1829273,inactive,O=C(Cc1cccc(Br)c1)NS(=O)(=O)c1ccc(F)cc1,372.2150000000001,2.6358000000000006,1,3,4.689306687656639
CHEMBL1829274,inactive,O=C(Cc1cccc(Br)c1)NS(=O)(=O)c1ccc(Cl)cc1,388.6700000000001,3.150100000000001,1,3,4.62967199222049
CHEMBL1829275,inactive,O=C(Cc1cccc(Br)c1)NS(=O)(=O)c1ccc(Br)cc1,433.1210000000001,3.2592000000000017,1,3,4.562566556202029
CHEMBL1834657,inactive,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,560.4860000000001,5.354400000000004,2,8,5.0
CHEMBL221753,intermediate,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,412.6380000000001,6.072400000000007,0,2,5.681102285372513
CHEMBL319244,intermediate,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,284.311,2.8969000000000005,2,4,5.876475019057268
CHEMBL31184,inactive,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,252.31599999999997,5.737200000000003,0,0,4.381920509640779
CHEMBL1016,intermediate,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,440.4630000000001,4.028600000000002,2,7,5.225687456248349
CHEMBL290106,intermediate,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,356.057,5.862600000000001,2,3,5.668167955563751
CHEMBL296419,inactive,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,458.58100000000024,5.351300000000005,1,5,4.883259464547056
CHEMBL633,intermediate,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,645.3190000000002,6.936200000000007,0,4,5.038673844065289
CHEMBL305660,intermediate,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,469.6690000000001,7.217600000000008,0,3,5.97571962395292
CHEMBL808,inactive,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,381.69000000000005,5.801400000000003,0,3,4.856860240895409
CHEMBL496,intermediate,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,406.90700000000004,6.609000000000001,2,2,5.479018918580702
CHEMBL53463,intermediate,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,543.5250000000003,0.0012999999999993017,6,12,5.604673606930649
CHEMBL726,inactive,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,437.5310000000002,4.308100000000003,1,5,4.708409174341999
CHEMBL334255,intermediate,CCCCCCCCCCCCCCCC[n+]1ccccc1,304.5419999999999,6.455400000000006,0,0,5.726304412069908
CHEMBL2221249,intermediate,CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,1155.4989999999998,-4.968000000000001,18,18,5.6522797829659615
CHEMBL12131,intermediate,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,663.0800000000002,7.124400000000003,2,3,5.6076548446387955
CHEMBL104,inactive,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,344.845,5.376700000000004,0,2,4.177799218965471
CHEMBL954,intermediate,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,405.96900000000005,6.562600000000006,0,2,5.7775436633207535
CHEMBL71,inactive,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,318.8730000000001,4.894400000000004,0,3,4.712960072482757
CHEMBL428647,inactive,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.918,3.7357000000000036,4,14,4.95436412892178
CHEMBL58,intermediate,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,444.4880000000002,-0.13919999999999944,8,10,5.69139290603168
CHEMBL91,inactive,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,416.1350000000001,6.454800000000002,0,3,4.561774192395471
CHEMBL86754,intermediate,Oc1c(I)cc(I)c2cccnc12,396.95300000000003,3.1496000000000013,1,2,5.066664589922349
CHEMBL24944,intermediate,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,449.92400000000004,4.932000000000001,2,2,5.224025668870631
CHEMBL83,intermediate,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.524,5.9961000000000055,0,2,5.530325227448202
CHEMBL10,inactive,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,377.444,4.6822000000000035,1,3,4.723630119730561
CHEMBL1922897,active,Clc1cc(Nc2ncnc3cc[nH]c23)ccc1Oc1ccccc1,336.7820000000001,5.1472000000000016,2,4,7.795880017344075
CHEMBL1922898,active,Fc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,354.77200000000005,5.286300000000002,2,4,8.031517051446064
CHEMBL1922899,active,Fc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,354.77200000000005,5.286300000000002,2,4,7.698970004336019
CHEMBL1922900,active,Clc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,371.2270000000001,5.800600000000003,2,4,7.958607314841775
CHEMBL1921812,active,Clc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,371.2270000000001,5.800600000000003,2,4,8.080921907623926
CHEMBL1922901,active,N#Cc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,361.79200000000003,5.018880000000002,2,5,8.096910013008056
CHEMBL1922902,active,N#Cc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,361.79200000000003,5.018880000000001,2,5,8.086186147616283
CHEMBL1922903,active,N#Cc1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)cc1,361.79200000000003,5.018880000000002,2,5,6.142667503568731
CHEMBL1922904,active,FC(F)(F)c1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,404.7790000000001,6.166000000000002,2,4,6.920818753952375
CHEMBL1922905,active,FC(F)(F)c1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,404.7790000000001,6.166000000000003,2,4,7.522878745280337
CHEMBL1922906,active,FC(F)(F)Oc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,420.77800000000013,6.0458000000000025,2,5,7.259637310505756
CHEMBL1922998,active,FC(F)(F)Oc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,420.77800000000013,6.0458000000000025,2,5,7.3872161432802645
CHEMBL1922999,active,Cc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,350.8090000000001,5.455620000000002,2,4,8.337242168318426
CHEMBL1921813,active,COc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,366.8080000000001,5.155800000000002,2,5,7.585026652029182
CHEMBL1923000,active,Fc1cccc(COc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,368.7990000000001,5.073000000000002,2,4,7.886056647693163
CHEMBL1923001,active,Clc1cc(Nc2ncnc3cc[nH]c23)ccc1OCc1ccccn1,351.79700000000014,4.328900000000002,2,5,7.657577319177793
CHEMBL1923002,active,Cc1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2C)cn1,331.37900000000013,4.505640000000002,2,5,7.221848749616356
CHEMBL1923003,active,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,385.2540000000001,5.811000000000002,1,5,8.481486060122112
CHEMBL1923004,active,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,418.8060000000001,6.176400000000002,1,5,7.958607314841775
CHEMBL1923005,active,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(OC(F)(F)F)c4)c(Cl)c3)c21,434.8050000000001,6.056200000000002,1,6,7.769551078621726
CHEMBL1923006,active,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,415.28000000000014,5.266300000000003,2,6,8.387216143280265
